repository,function_count,class_count,loc,size_kb,header_files,source_files,tested_functions_count,tested_functions
SherlockUnknowEn/leetcode,403,330,8733,348.1328125,0,0,0,
zqxl/leetcode,228,13,3965,106.4208984375,4,0,0,
upupming/algorithm,2131,271,38868,1303.4990234375,0,0,0,
abhisek247767/LeetCode2024-6Companies30Days,97,42,2097,96.6875,0,4,0,
zhaozhengcoder/Algorithm,169,38,3236,97.8896484375,0,5,0,
rachitiitr/DataStructures-Algorithms,496,63,8619,240.6669921875,2,0,0,
md-shamim-ahmad/LeetCode-Problem-Solution,319,286,5278,163.7001953125,0,1,0,
huihut/interview,159,28,2438,80.2529296875,32,0,0,
landbroken/BasicKnowledge,305,114,8506,258.818359375,59,0,0,
yingl/LeetCodeInCpp,201,152,5209,141.4287109375,1,0,0,
Gyanthakur/LeetCode_potd,198,98,2912,100.7265625,0,0,0,
RajwardhanShinde/LeetCode-Solutions,133,111,2450,70.412109375,0,0,0,
binzi56/algorithm-pattern-c,16,0,187,7.5029296875,0,0,0,
niveditaprity/Leetcode_Daily_Challenge,203,144,4073,109.255859375,0,0,0,
fupengfei058/algorithm,247,187,5649,204.8349609375,0,0,0,
sk9245/LeetCode_Bootcamp_Spring2022,24,22,455,14.470703125,0,0,0,
elixered/leetcode,1195,950,24178,715.4443359375,0,0,0,
withaarzoo/LeetCode-Solutions,104,94,2870,118.95703125,0,0,0,
sachuverma/DataStructures-Algorithms,866,611,21591,1304.2880859375,0,0,0,
razimantv/leetcode-solutions,1425,1350,26610,828.3466796875,0,0,0,
daizhenyang/leetcode,15,27,828,28.08984375,0,0,0,
codingtmd/leetcode,136,140,3740,107.3046875,0,0,0,
Thelalitagarwal/Leetcode_Daily_Challenge,485,375,9228,317.654296875,0,0,0,
timoncui/LeetCode,156,107,2897,144.6767578125,0,0,0,
deepaktalwardt/interview-prep-cpp,267,139,5321,166.0966796875,0,0,0,
shineyr/LeetCode,0,0,0,0.0,0,0,0,
hex108/leetcode,381,132,9917,340.4033203125,134,0,0,
ThreeSR/LeetCode,356,304,6152,350.451171875,0,5,0,
pkuzengqi/LeetcodeNotes,182,138,3155,111.97265625,0,0,0,
royalpranjal/LeetCode,540,256,8489,262.45703125,0,0,0,
khanhnamle1994/technical-interview-prep,1149,147,18155,1249.0859375,0,0,0,
fancymax/Leetcode_Swift,101,82,2495,128.4638671875,0,1,0,
ysyisyourbrother/My-Leetcode,414,144,8844,244.951171875,2,0,0,
downdemo/LeetCode-Solutions-in-Cpp17,244,204,4952,125.9267578125,0,0,0,
Whosemario/LeetCodeSrc,0,0,0,0.0,0,0,0,
gremist/LeetCode,387,398,6988,228.5,0,0,0,
ChrisXu1006/Leecode,464,6,8538,204.7314453125,0,0,0,
amusi/coding-note,41,24,746,41.9384765625,0,0,0,
